ID,Start time,Completion time,Email,Name,How confident do you feel about your career planning?,Anything you want to add?
43,9/10/25 10:47:37,9/10/25 10:47:42,anonymous,,Somewhat not confident,
44,9/10/25 10:49:03,9/10/25 10:50:32,anonymous,,Neutral,"I take opportunities as they arise rather than having a plan - plans don't really work in my line of work as there's no clear pathways, and circumstances and preferences change over time too. I have support from managers and colleagues, but the actual planning isn't really happening!"
45,9/10/25 10:53:41,9/10/25 10:53:47,anonymous,,Somewhat not confident,
46,9/10/25 10:54:16,9/10/25 10:54:31,anonymous,,Neutral,
47,9/10/25 10:54:50,9/10/25 10:55:01,anonymous,,Extremely confident,
48,9/10/25 10:57:44,9/10/25 10:57:53,anonymous,,Somewhat not confident,
49,9/10/25 11:02:33,9/10/25 11:02:58,anonymous,,Somewhat not confident,
50,9/10/25 11:02:24,9/10/25 11:03:30,anonymous,,Neutral,"Promotions have been cancelled by the University, so how can we prepare career plans when there is no end output for those efforts?"
51,9/10/25 11:05:35,9/10/25 11:06:06,anonymous,,Extremely confident,
52,9/10/25 11:14:29,9/10/25 11:14:52,anonymous,,Somewhat not confident,
53,9/10/25 11:14:29,9/10/25 11:15:27,anonymous,,Neutral,Career planning days are over now.  
54,9/10/25 11:15:04,9/10/25 11:15:45,anonymous,,Somewhat not confident,Doesnt seem to be a progression for my role and things i can do to progress out of the role into a more senior position due to lack of options
55,9/10/25 11:17:54,9/10/25 11:18:42,anonymous,,Extremely not confident,An absence of guidance and mentorship from line manager. Lack of transparency around talent identification
56,9/10/25 11:20:14,9/10/25 11:21:14,anonymous,,Somewhat not confident,
57,9/10/25 11:21:51,9/10/25 11:23:29,anonymous,,Somewhat confident,
58,9/10/25 11:26:52,9/10/25 11:27:23,anonymous,,Neutral,
59,9/10/25 11:26:13,9/10/25 11:28:42,anonymous,,Somewhat not confident,"Uncertain about opportunities that would be available to me by end of my degree, especially considering the fluctuations in immigration policies "
60,9/10/25 11:29:35,9/10/25 11:31:01,anonymous,,Somewhat not confident,I have worked in research for many years. I feel I understand the principles of how to progress but feel stuck. Being on a fixed term contract creates barriers - e.g. to being co-investigator
61,9/10/25 11:32:41,9/10/25 11:32:52,anonymous,,Somewhat not confident,
62,9/10/25 11:34:10,9/10/25 11:36:31,anonymous,,Somewhat confident,I feel I have the support from my line manager to have a conversation on career planning when I am ready. For now I have some objectives that I am working hard towards to help with my career in the next 12 months to build my knowledge and confidence so do not feel I need to have a further conversation as this point.
63,9/10/25 11:35:44,9/10/25 11:37:40,anonymous,,Somewhat confident,"I'm at a late stage in my career, so this is less relevant for me.  "
64,9/10/25 11:41:53,9/10/25 11:43:03,anonymous,,Somewhat not confident,Finding it difficult to juggle different priorities in career planning as I teach but want to develop more research capability.
65,9/10/25 11:44:01,9/10/25 11:49:52,anonymous,,Neutral,
66,9/10/25 11:50:57,9/10/25 11:51:12,anonymous,,Somewhat not confident,
67,9/10/25 11:52:04,9/10/25 11:52:38,anonymous,,Somewhat not confident,
68,9/10/25 11:51:33,9/10/25 11:57:27,anonymous,,Somewhat not confident,
69,9/10/25 11:54:04,9/10/25 11:57:51,anonymous,,Extremely not confident,"I have had no proper support for career planning, I was never assigned a mentor when I joined the university as an ECR. I did seek out a mentor recently through the mentoring academy, and this was useful but we worked in quite different fields. 
I have been turned down for promotion in the past but have not had any support in working towards promotion, other than the advice that I need to have published two books (this does not seem to be the case across the board) and as such I am repeatedly told not to re-apply, despite being here for 11 years. 
There are no structures in place to support career planning within my school
"
70,9/10/25 12:04:28,9/10/25 12:05:39,anonymous,,Somewhat not confident,I feel there is not a clear plan and sort of just waiting to see what happens which is scary.
71,9/10/25 12:08:54,9/10/25 12:11:15,anonymous,,Extremely not confident,"Since my job, like those of many people at the University, is currently undergoing 'strategic review' career planning has gone on hold, leading to a strong sense of anxiety and precarity. "
72,9/10/25 12:16:20,9/10/25 12:17:01,anonymous,,Somewhat not confident,postdoc jobs are in short supply and difficult to get
73,9/10/25 12:27:55,9/10/25 12:28:04,anonymous,,Somewhat confident,
74,9/10/25 12:49:50,9/10/25 12:50:34,anonymous,,Extremely confident,
75,9/10/25 12:50:19,9/10/25 12:54:05,anonymous,,Somewhat not confident,"(I'm at the start of my 3rd year PhD and 47 for context) I find the whole process quite confusing, particularly around the terminology used for describing positions and roles. I worry more about the funding for academic work and also my age as I will likely be competing against people 20years younger than me for junior research positions. "
76,9/10/25 12:57:06,9/10/25 12:57:22,anonymous,,Extremely not confident,
77,9/10/25 13:02:14,9/10/25 13:02:33,anonymous,,Neutral,
78,9/10/25 13:08:07,9/10/25 13:10:16,anonymous,,Extremely not confident,There is no progression route for me within my subject area and I feel am to specialised to be any use elsewhere including outside of academia - it makes me very despondent- this has got worse not better in the ten years I have been in my role
79,9/10/25 13:16:07,9/10/25 13:16:57,anonymous,,Extremely not confident,there is no direction to go in
80,9/10/25 13:20:15,9/10/25 13:20:30,anonymous,,Extremely not confident,
81,9/10/25 13:36:32,9/10/25 13:37:55,anonymous,,Neutral,I am a research enabler working in professional service and very little consideration is given to our career planning as we are too often perceived as secondary to the researchers we support
82,9/10/25 14:24:03,9/10/25 14:24:14,anonymous,,Neutral,
83,9/10/25 14:39:06,9/10/25 14:39:20,anonymous,,Extremely not confident,
84,9/10/25 14:49:04,9/10/25 14:49:29,anonymous,,Somewhat not confident,As I see my professor s are the only ones who are supporting me on this !
85,9/10/25 14:50:23,9/10/25 14:53:52,anonymous,,Not sure,"Being an international student, finding my career footing in the UK higher education is challenging, and getting even part time work-20 hrs has been a hurdle because most decent jobs employer requires UK experience and longer hours
 "
86,9/10/25 15:47:46,9/10/25 15:48:13,anonymous,,Extremely not confident,
87,9/10/25 15:57:05,9/10/25 15:57:54,anonymous,,Somewhat not confident,
88,9/10/25 16:10:42,9/10/25 16:11:02,anonymous,,Somewhat not confident,
89,9/10/25 16:42:07,9/10/25 16:47:10,anonymous,,Somewhat not confident,"I feel on track however, the UK HE space has a huge influence on how someone might feel about their career planning."
90,9/10/25 17:05:40,9/10/25 17:06:20,anonymous,,Extremely not confident,
91,9/10/25 17:08:05,9/10/25 17:09:26,anonymous,,Somewhat confident,Compulsory redundancies threatened across the Uni don't help with the confidence
92,9/10/25 17:32:16,9/10/25 17:33:15,anonymous,,Somewhat confident,The main struggle I am having at the moment is how to be strategic about which opportunities to say yes too.
93,9/10/25 16:18:27,9/10/25 17:47:59,anonymous,,Somewhat confident,"As an international student from sub-Saharan Africa, I just feel the everyday concerns of transitioning into the UK job market "
94,9/10/25 18:15:55,9/10/25 18:16:59,anonymous,,Somewhat confident,I need help identifying the salary value of my education and experience. 
95,9/10/25 18:48:27,9/10/25 18:49:36,anonymous,,Somewhat confident,I don't think career pathways are as straightforward as teaching pathways and the opportunities aren't as many
96,9/10/25 21:05:46,9/10/25 21:10:23,anonymous,,Somewhat confident,"Being quite senior, one might imagine that this should not be a terribly relevant question for me, but sadly the high levels of uncertainty and the endless crises in the sector mean that very few people can be extremely confident about their future."
97,9/10/25 21:22:21,9/10/25 21:26:34,anonymous,,Somewhat confident,
98,9/10/25 21:26:37,9/10/25 21:28:03,anonymous,,Somewhat not confident,
99,9/10/25 21:44:59,9/10/25 21:46:28,anonymous,,Somewhat confident,
100,9/10/25 22:08:35,9/10/25 22:16:08,anonymous,,Somewhat not confident,We need more support and time. I get 0 time for career planning 
101,9/11/25 2:12:02,9/11/25 2:12:30,anonymous,,Somewhat confident,
102,9/11/25 6:32:27,9/11/25 6:32:39,anonymous,,Somewhat confident,
103,9/11/25 8:14:18,9/11/25 8:15:09,anonymous,,Extremely not confident,I feel like I have reached a plateau and there is little direction or advice about where to go next
104,9/11/25 8:19:31,9/11/25 8:20:39,anonymous,,Somewhat confident,"I feel confident about the things I want to/can do, but this is dampened by the university freezing promotion processes, and the approach of my managers regarding progression"
105,9/11/25 9:06:03,9/11/25 9:06:28,anonymous,,Extremely not confident,
106,9/11/25 9:34:57,9/11/25 9:36:46,anonymous,,Somewhat not confident,"Externally funded researcher, so career planning is somewhat precarious by its nature. But I don't feel the University as a whole will support me (financially) to cover costs between funding contracts. Given the Strategic Reviews, I am not expecting any support."
107,9/11/25 10:10:34,9/11/25 10:11:30,anonymous,,Somewhat not confident,He is very changeable at the moment and planning anything feels difficult to do.
108,9/11/25 10:15:15,9/11/25 10:26:11,anonymous,,Neutral,I am a new research fellows who has just started a two-year fixed term contract. I am already applying for my next fellowship. Funding is limited and I am unlikely to succeed. This makes it difficult to plan my career.
109,9/11/25 12:54:20,9/11/25 12:55:26,anonymous,,Somewhat confident,"I'm on a fixed term contract as a researcher and I'm encouraged to apply for external funding.  It's great to have such opportunities but there is also a lot of competition for funding, so I'm not as confident as I would like to be."
110,9/11/25 13:53:12,9/11/25 13:57:13,anonymous,,Extremely not confident,"I am not aware of a possible next step I could take in my career at the University.  I cannot gain experience via secondment as my fixed-term contracts are always quite short, although they have been renewed for years. Also, there would be no-one available to cover my current role.  As my funding is research-based I am not offered a permanent University contract.  I am not confident in my current role continuing, never mind taking a next step in my career. "
111,9/11/25 15:21:39,9/11/25 15:21:50,anonymous,,Somewhat confident,
112,9/11/25 16:49:59,9/11/25 16:50:51,anonymous,,Extremely not confident,
113,9/12/25 11:18:59,9/12/25 11:24:55,anonymous,,Somewhat confident,
114,9/12/25 13:01:16,9/12/25 13:02:31,anonymous,,Extremely not confident,"In the third of year of the PhD it seems like there is a lot to do and not much time available to seek help on job hunting or to job hunt, and there are no systems in place to help PhD students get experience beyond research - such as teaching (which the university could help provide)"
115,9/12/25 13:27:57,9/12/25 13:32:30,anonymous,,Neutral,"As an international student, I sometimes wonder how I will fit into academia in the UK and beyond. Since my research interest is not taught in my home country, I am eager to further my knowledge as an early career researcher by progressing in countries where there is active expertise in my field."
116,9/12/25 14:24:18,9/12/25 14:26:12,anonymous,,Extremely not confident,I feel incredibly lost with what i want to do. I feel there isn't enough opportunities to have a go at different possible careers or know many people in careers other than academia to be able to make a decision. Its also something my supervisors don't seem to be interested in helping me do. Only interested in helping me into academia and not supporting me to try find other possible careers that I may be interested in. 
117,9/12/25 15:05:25,9/12/25 15:18:07,anonymous,,Somewhat not confident,"Precarity of employment for research staff makes the planning of career or life in general challenging and leaves many sitting on the edge of redundancy for years. I suggest this situation is unhealthy as the active researchers are the engine that deliver all the marketed headline promises of research output and excellence - in fact I'd suggest it leaves the University itself in a precarious situation as if such staff are lost they will be irreplaceable given their long years of experience in specialised areas (such as Space science) that once lost would lose us our competitive edge in these research areas. Giving research staff stable career prospects should be seen as an essential investment as important as investing in physical infrastructure such as SPL. 
Research output will ultimately benefit if research staff are given the confidence of more continuous employment to enable them to take a long term view in developing collaborations and proposals rather than having to make short-term hops between available sources of funding."
