ID,Start time,Completion time,Email,Name,To what extent you feel valued in your job at the moment?,Anything you want to add?
32,9/10/25 10:19:25,9/10/25 10:21:53,anonymous,,Extremely valued,"I know that I am valued by School colleagues and students. It's less clear that staff in my position are valued by Senior Management, but there's probably a structural component to that that's unavoidable - they need to think  in terms of the institution rather than specific individuals."
33,9/10/25 10:22:22,9/10/25 10:23:08,anonymous,,Somewhat unvalued,My job includes supporting other people's research
34,9/10/25 10:23:14,9/10/25 10:23:32,anonymous,,Somewhat valued,
35,9/10/25 10:30:30,9/10/25 10:30:59,anonymous,,Extremely unvalued,
36,9/10/25 10:35:48,9/10/25 10:35:58,anonymous,,Neither unvalued or valued,
37,9/10/25 10:38:52,9/10/25 10:39:10,anonymous,,Somewhat valued,
38,9/10/25 10:53:14,9/10/25 10:53:30,anonymous,,Somewhat unvalued,
39,9/10/25 10:34:10,9/10/25 11:45:43,anonymous,,Somewhat unvalued,"The continual threat of redundancy and the way in which the narrative around this overshadows both research and teaching contributes to a feeling of being unvalued by the university, it is hard to have imaginative engagement and innovation in this environment, and one feels as if collegiality and citizenship count for nothing. "
40,9/10/25 12:18:40,9/10/25 12:19:26,anonymous,,Somewhat valued,
41,9/10/25 12:57:39,9/10/25 12:57:49,anonymous,,Somewhat valued,
42,9/10/25 13:11:06,9/10/25 13:11:45,anonymous,,Somewhat unvalued,only direct contacts actually know I exist is the feeling I get. 
43,9/10/25 22:00:41,9/10/25 22:08:17,anonymous,,Extremely unvalued,"You are not listened to as a hard working member of a team. This is a major  problem  and  i think we will lose good staff. There are continually staff who cause trouble,  shirk responsibility,  break rules, and do not pull their weight.  We watch as they are cowardly when challenged and then start up again when leaders turn their backs. Time to stop with the generic telling off and start to discipline staff who are passive aggressive.  They make life miserable for the hard working and committed staff"
44,9/11/25 10:11:45,9/11/25 10:12:29,anonymous,,Somewhat valued,I do feel valued by my immediate line management but in the bigger picture less so.
45,9/11/25 11:15:45,9/11/25 11:18:33,anonymous,,Extremely valued,I'm an experienced academic but working as a researcher.  I'm very much supported by my line manager and colleagues to pursue my own research interests but my current position means that I do not have a secure position (employment dependent on available funding)
46,9/12/25 12:59:04,9/12/25 13:00:53,anonymous,,Extremely unvalued, PhD students can feel more of a hindrance on timetables than an asset to carefully nurture and grow.
47,9/12/25 14:10:50,9/12/25 15:04:42,anonymous,,Not sure,I feel highly valued by my immediate group level colleagues but not by the University as a whole as there is no evident effort to shield research staff from precarity of employment which makes any planning of career or life in general almost impossible and leaves many sitting on the edge of redundancy for years. I suggest this attitude is short-sighted as the active researchers are the engine that deliver all the marketed headline promises of research output and excellence - in fact I'd suggest this leaves the University itself in a precarious situation as if such staff are lost they will be irreplaceable given their long years of experience in specialised areas (such as Space science) that once lost would lose us our competitive edge in these research areas. Giving research staff stable career prospects should be seen as an essential investment as important as investing in physical infrastructure such as SPL.
